time_s,clean_after_pga_uV,ideal_decimated_uV,adc_out_uV,error_uV,fifo_spi_code_int24
0.000000000000000000e+00,1.720235624586698577e+03,3.685349626770613440e+02,0.000000000000000000e+00,-3.685349626770613440e+02,0.000000000000000000e+00
4.000000000000000083e-03,5.134938035028540980e+03,2.222731757974826905e+03,3.125000000000000000e+03,9.022682420251732083e+02,5.242880000000000000e+05
8.000000000000000167e-03,8.310579006763053258e+03,4.466036539013347465e+03,4.687500000000000909e+03,2.214634609866532458e+02,7.864320000000000000e+05
1.200000000000000025e-02,1.110006535214157157e+04,7.125218480826592895e+03,6.250000000000000000e+03,-8.752184808265925540e+02,1.048576000000000000e+06
1.600000000000000033e-02,1.337534021699364894e+04,9.649452303486576056e+03,9.375000000000001819e+03,-2.744523034865740669e+02,1.572864000000000000e+06
2.000000000000000042e-02,1.503362868621810412e+04,1.189659518398568434e+04,1.250000000000000000e+04,6.034048160143170207e+02,2.097152000000000000e+06
2.400000000000000050e-02,1.600237797490789308e+04,1.350765295309513385e+04,1.406250000000000000e+04,5.548470469048660334e+02,2.359296000000000000e+06
2.800000000000000058e-02,1.624264293337963136e+04,1.453816824637070022e+04,1.406250000000000000e+04,-4.756682463707001602e+02,2.359296000000000000e+06
3.200000000000000067e-02,1.575075141005869227e+04,1.470074999074149127e+04,1.406250000000000000e+04,-6.382499907414910467e+02,2.359296000000000000e+06
3.599999999999999728e-02,1.455817632355309979e+04,1.405347739969070062e+04,1.406250000000000000e+04,9.022600309299688703e+00,2.359296000000000000e+06
4.000000000000000083e-02,1.272963693001355568e+04,1.295440649527027927e+04,1.406250000000000000e+04,1.108093504729720735e+03,2.359296000000000000e+06
4.399999999999999745e-02,1.035954541165226146e+04,1.128788647517972458e+04,1.093750000000000182e+04,-3.503864751797231065e+02,1.835008000000000000e+06
4.800000000000000100e-02,7.567001383513343171e+03,9.265491632576664415e+03,9.375000000000001819e+03,1.095083674233377593e+02,1.572864000000000000e+06
5.199999999999999761e-02,4.489611489954467288e+03,6.534982943907220033e+03,6.250000000000000000e+03,-2.849829439072193509e+02,1.048576000000000000e+06
5.600000000000000117e-02,1.276469925472833893e+03,3.460305186434004099e+03,3.125000000000000000e+03,-3.353051864340038151e+02,5.242880000000000000e+05
5.999999999999999778e-02,-1.919324608708574942e+03,3.360216953748096671e+02,0.000000000000000000e+00,-3.360216953748096671e+02,0.000000000000000000e+00
6.400000000000000133e-02,-4.948221277925880713e+03,-2.693100571081470207e+03,-1.562500000000000000e+03,1.130600571081470207e+03,-2.621440000000000000e+05
6.800000000000000488e-02,-7.671447570974934933e+03,-5.366411758177459888e+03,-6.250000000000000000e+03,-8.835882418225405672e+02,-1.048576000000000000e+06
